"ECOLE_ID","ECOLE_NAME_FR","ECOLE_NAME_UK","ECOLE_SHORT_NAME","ECOLE_SHORT_NAME_UK","COUNTRY_ID"
"84a5e221-1d36-426a-8946-2f4b619d5dd7","ECOLE D’ETAT-MAJOR ","ECOLE D’ETAT-MAJOR ","EEM","EEM","02"
"b855334f-5774-4a5c-a86a-6ec4dfe608fc","CENTRE D'INSTRUCTION DE LA BA302","CENTRE D'INSTRUCTION DE LA BA302","CI-BA302","CI-BA302","02"
"ad565696-1774-4fcf-8cc7-54de1ec9762c","ECOLE DE LOGISTIQUE ","ECOLE DE LOGISTIQUE ","ELOG","ELOG","02"
"e1376084-26eb-4410-bba7-6b711fabcd64","UNITED STATE COAST GUARD TRAINING CENTER - YORKTOWN","UNITED STATE COAST GUARD TRAINING CENTER - YORKTOWN","USCG RTC","USCG RTC","34"
"c9f1ca75-ef89-46bb-8112-7867506da785","CENTRE D'INSTRUCTION DE LA BASE 101","CENTRE D'INSTRUCTION DE LA BASE 101","CI BA101","CI BA101","02"
"79f52c00-6d65-4acd-9a88-c735a1f9ec1a","CENTRE D'INSTRUCTION DE LA BA 102","CENTRE D'INSTRUCTION DE LA BA 102","CI BA102","CI BA102","02"
"c28eadfc-23c2-4279-98e6-2ebfa7bde0ca","ECOLE INTERNATIONALE DES FORCES DE SECURITE","ECOLE INTERNATIONALE DES FORCES DE SECURITE","EIFORCE","EIFORCE","02"
"0c1e0a55-98c7-49f9-bcbc-d1c6bf78b73a","ECOLES ET CENTRES D’INSTRUCTION","ECOLES ET CENTRES D’INSTRUCTION","ECI","ECI","02"
"9af29f3f-a465-4979-8875-6987e0623e3b","ECOLE D’APPLICATION DES OFFICIERS DE LA MARINE DE DOUALA","ECOLE D’APPLICATION DES OFFICIERS DE LA MARINE DE DOUALA","EAOMN","EAOMN","02"
"a0d503d0-dc12-4d49-904b-9289c27b661d","ECOLE DE PLONGEE D’ISSONGO ET ACTION EN MER","ECOLE DE PLONGEE D’ISSONGO ET ACTION EN MER","EPAEM","EPAEM","02"
"276d80cc-492b-4502-a6a6-b49b35c6af3b","CENTRE D’INSTRUCTION NAVAL DES SPECIALITES","CENTRE D’INSTRUCTION NAVAL DES SPECIALITES","CINAS","CINAS","02"
"51c963c1-ff45-4c34-bb75-d476e52a54ff","CIES","CIES","CIES","CIES","02"
"3cfb2659-d649-41c9-a54b-c8e7a1826602","CENTRE D’INSTRUCTION ET DE PERFECTIONNEMENT DES FUSILIERS MARINS DE MAN O’WAR BAY","CENTRE D’INSTRUCTION ET DE PERFECTIONNEMENT DES FUSILIERS MARINS DE MAN O’WAR BAY","CIPFUMAR","CIPFUMAR","02"
"27b810c8-e9e1-484d-8111-fba418783f35","CENTRE D'INSTRUCTION DE LA BRIGADE DU QUARTIER GENERAL","CENTRE D'INSTRUCTION DE LA BRIGADE DU QUARTIER GENERAL","CI-BQG","CI-BQG","02"
"2e2df4b0-2572-46a9-b746-a61fa58cfef4","CENTRE D’ENTRAINEMENT ET D’AGUERRISSEMENT EN ZONE SAHELIENNE","CENTRE D’ENTRAINEMENT ET D’AGUERRISSEMENT EN ZONE SAHELIENNE","CEAS","CEAS","02"
"028ee7b5-3bbe-44b3-9d58-926874d55047","NAVAL WAR COLLEGE - NEWPORT","NAVAL WAR COLLEGE - NEWPORT","NWC","NWC","34"
"82a319ff-fb24-4fe5-8f07-48ea34879cc5","CENTRE D’ENTRAINEMENT ET D’AGUERRISSEMENT EN ZONE SAHELIENNE","CENTRE D’ENTRAINEMENT ET D’AGUERRISSEMENT EN ZONE SAHELIENNE","CEAS","CEAS","02"
"509589ee-6a40-4e83-9130-ee75dffe8879","CENTRE D’ENTRAINEMENT ET D’AGUERRISSEMENT EN ZONE MONTAGNEUSE","CENTRE D’ENTRAINEMENT ET D’AGUERRISSEMENT EN ZONE MONTAGNEUSE","CEAM","CEAM","02"
"8c64b3f7-26f6-441e-8ed1-d7e6308c0987","INSTITUT PANAFRICAIN DE FORMATION PARA-MEDICALE","INSTITUT PANAFRICAIN DE FORMATION PARA-MEDICALE","IPAF PM","IPAF PM","02"
"385482c9-f12a-46e2-9209-697022f99697","ECOLE DES METIERS DE L’ARMEE DE L’AIR","ECOLE DES METIERS DE L’ARMEE DE L’AIR","ECMAA","ECMAA","02"
"8d4129be-0594-4eec-81f2-e126bb114963","PANVR","PANVR","PANVR","PANVR","02"
"3f844e39-feb0-46ba-a271-4d5a4195c246","CENTRE D'INSTRUCTION DES FORCES SPECIALES","CENTRE D'INSTRUCTION DES FORCES SPECIALES","FSC","FSC","02"
"6f098fc2-31e8-40e0-96e4-e1fccb735430","CENTRE D'INSTRUCTION DES SERVICES SOCIAUX","CENTRE D'INSTRUCTION DES SERVICES SOCIAUX","CISS","CISS","15"
"2da46f8e-6a98-43ad-88f2-646dae50f72b","ARMY WAR COLLEGE","ARMY WAR COLLEGE","AWC","AWC","39"
"517199cd-4add-48a4-8d62-68a742be9c47","ECOLE  D'APPLICATION DES ARMES D'EL HAMMA","ECOLE D'APPLICATION DES ARMES D'EL HAMMA","EADAH","EADAH","20"
"eea64336-0694-4301-a048-15290d90f95a","ECOLE A VOCATION REGIONALE DU GENIE DES TRAVAUX DE MAKABADILOU","ECOLE A VOCATION REGIONALE DU GENIE DES TRAVAUX DE MAKABADILOU","EVRGTM","EVRGTM","06"
"154bb26f-85a2-4c5c-8f42-3da3be133008","BERTOUA","BERTOUA","BERT","BERT","02"
"54295c8b-d544-4253-804e-e251b500d2c7","OBALA","OBALA","OBA","OBA","02"
"4912afb5-7117-4725-b9a6-30b526d8109c","GROUPEMENT TEMPORAIRE DU 11°BIM","GROUPEMENT TEMPORAIRE DU 11°BIM","GTI 11°BIM","GTI 11°BIM","02"
"4af0f99e-4981-4ce3-9b5b-af6b19b1a3f9","ECOLE MILITAIRE INTERARMEES","ECOLE MILITAIRE INTERARMEES","EMIA","EMIA","02"
"58aa217d-bdcd-4092-a831-930eadffe647","CENTRE DE FORMATION TECHNIQUE DES ARMEES ","CENTRE DE FORMATION TECHNIQUE DES ARMEES ","CFTA","CFTA","02"
"6a3589bb-dc73-4221-9871-03f50384ba68","CENTRE D’INSTRUCTION DES ELEVES SOUS-OFFICIERS ","CENTRE D’INSTRUCTION DES ELEVES SOUS-OFFICIERS ","CIESO","CIESO","02"
"8261454c-5d55-4a7d-9577-3331dd884e4e","CENTRE DE PERFECTIONNEMENT ET D’ENTRAINEMENT DES FORCES ARMEES NATIONALES","CENTRE DE PERFECTIONNEMENT ET D’ENTRAINEMENT DES FORCES ARMEES NATIONALES","CPEFAN","CPEFAN","02"
"1cbf6c3c-cb62-4fed-90d9-aa528b569cc9","CENTRE D’INSTRUCTION DES FORCES ARMEES NATIONALES ","CENTRE D’INSTRUCTION DES FORCES ARMEES NATIONALES ","CIFAN","CIFAN","02"
"8682b2c8-7a0f-4e43-8062-327e7c8e8c76","CENTRE D’INSTRUCTION DE DJOUM ","CENTRE D’INSTRUCTION DE DJOUM ","CI-DJOUM","CI-DJOUM","02"
"5fb2aef3-dc71-491a-b7d5-ca02bfcf70a7","CENTRE D’INSTRUCTION DES SPECIALISTES DES ARMEES ","CENTRE D’INSTRUCTION DES SPECIALISTES DES ARMEES ","CISA","CISA","02"
"42eb32c0-ce52-45ea-a778-6d6c96196227","CENTRE SPECIALISE D’INSTRUCTION D’APPLICATION ET DE PERFECTIONNEMENT DU GENIE","CENTRE SPECIALISE D’INSTRUCTION D’APPLICATION ET DE PERFECTIONNEMENT DU GENIE","CSIAP-GENIE","CSIAP-GENIE","02"
"5e5289a4-51a8-4836-8ec8-4af58418dcc2","CENTRE D'INSTRUCTION DE LA BASE 501","CENTRE D'INSTRUCTION DE LA BASE 501","CI-BA501","CI-BA501","02"
"cb958b84-a395-499c-9dc5-cad08ea3549e","CENTRE D'INSTRUCTION DE LA BA401","CENTRE D'INSTRUCTION DE LA BA401","CI-BA401","CI-BA401","02"
"3036ae4a-23a1-465f-a8af-2c0373603187","ECOLE SUPERIEURE INTERNATIONALE DE GUERRE ","ECOLE SUPERIEURE INTERNATIONALE DE GUERRE ","ESIG","ESIG","02"
"33b09f79-2bb5-400a-8a96-96652038bf02","CENTRE D'INSTRUCTION DU BATAILLON D'INTERVENTION RAPIDE","CENTRE D'INSTRUCTION DU BATAILLON D'INTERVENTION RAPIDE","CI-BIR","CI-BIR","02"
"18affb74-c5e0-4639-8e91-f1ba368204f4","GROUPEMENT TEMPORAIRE D'INSTRUCTION DU 14°BIM","GROUPEMENT TEMPORAIRE D'INSTRUCTION DU 14°BIM","GTI 14°BIM","GTI 14°BIM","02"
"9fb1cb45-c48e-4f55-8368-8b0879d453c2","ECOLE SUPERIEURE ET D'APPLICATION DES TRANSMISSIONS DE RENNES","ECOLE SUPERIEURE ET D'APPLICATION DES TRANSMISSIONS DE RENNES","ESAT","ESAT","03"
"f431aceb-6540-4f30-bc71-03c7a31bd212","CENTRE DE PERFECTIONNEMENT ET TECHNIQUE AU MAINTIEN DE L'ORDRE","CENTRE DE PERFECTIONNEMENT ET TECHNIQUE AU MAINTIEN DE L'ORDRE","CPTMO","CPTMO","02"
"61592905-7dfd-447a-91a9-5773ae275c0b","REGIMENT D'ARTILLERIE SOL-SOL","REGIMENT D'ARTILLERIE SOL-SOL","RASS","RASS","02"
"ed195e43-c235-4494-aa1e-10019b5a0847","REGIMENT D'ARTILLERIE SOL-AIR","REGIMENT D'ARILLERIE SOL-AIR","RASA","RASA","02"
"d59afc85-e8fa-4603-b47b-8e1dc653e81d","CENTRE DE FORMATION DU PERSONNEL PARA-MEDICALE","ENTRE DE FORMATION DU PERSONNEL PARA-MEDICALE","CFPP","CFPP","02"
"01594595-2fb7-4b8a-94a3-b54850cf4367","CI MINKAMA","CI MINKAMA","CIMIN","CIMIN","02"
"c9ab46e3-8647-4966-8fa4-463b9b2e40e1","CENTRE D'INSTRUCTION DES FORCES SPECIALES TCHABAL","CENTRE D'INSTRUCTION DES FORCES SPECIALES TCHABAL","CI-FS TCHABAL","CI-FS TCHABAL","02"
"266249e7-ffc4-4efc-b03a-f574bef92c13","COLLEGE ROYAL DE L'ENSEIGNEMENT MILITAIRE SUPERIEUR","COLLEGE ROYAL DE L'ENSEIGNEMENT MILITAIRE SUPERIEUR","CREMS","CREMS","15"
"02789506-5c5e-4fc6-9e23-dbe4fb4f66fe","CI KOUTABA","CI KOUTABA","CIKT","CIKT","02"
"62fc9081-60d8-4112-bf03-c54d58723dba","ACADEMIE DE LOGISTIQUE DE OUIDAH","ACADEMIE DE LOGISTIQUE DE OUIDAH","ALO","ALO","04"
"b0e097b3-b2e3-46fb-a743-333f6e43aba6","AIR FORCE ADMINISTRATIVE COLLEGE","AIR FORCE ADMINISTRATIVE COLLEGE","AFAC","AFAC","39"
"454da303-0cd3-4c4d-a51b-0c88f327ad58","ECOLE ROYALE MILITAIRE DU PERSONNEL PARAMEDICAL ","ECOLE ROYALE MILITAIRE DU PERSONNEL PARAMEDICAL ","ERMPP","ERMPP","15"
"36c3b49f-8204-45c0-9afd-ed45089c6b6b","ECOLE ROYALE DES OFFICIERS DE LA GENDARMERIE","ECOLE ROYALE DES OFFICIERS DE LA GENDARMERIE","EROG","EROG","15"
"47db4b20-0d80-4b78-98ea-1a8e5eeadd48","CENTRE D'INSTRUCTION DE L'INTENDANCE  A  SALE","CENTRE D'INSTRUCTION DE L'INTENDANCE  A  SALE","CIIS","CIIS","15"
"f2bb49b4-6bf8-42dc-9119-da3cdcb497dc","ACADEMIE MILITAIRE DES AIGUILLES NOIRES","ACADEMIE MILITAIRE DES AIGUILLES NOIRES","AMAN","AMAN","35"
"c2c0cc32-f7cc-4859-8b76-ac7b570d121e","ECOLE NAVALE DE RIO DE JANEIRO","ECOLE NAVALE DE RIO DE JANEIRO","ENRJ","ENRJ","35"
"849140b6-c873-41c1-9e63-6fbe0283bab5","INSTITUT SUPERIEUR D'ETUDES DE PROTECTION CIVILE ","INSTITUT SUPERIEUR D'ETUDES DE PROTECTION CIVILE ","ISEPC","ISEPC","05"
"727f261a-7284-4f74-912c-e69936dfdc36","ECOLE DE LA MARINE ROYALE BRITANNIQUE DE FAREHAM","ECOLE DE LA MARINE ROYALE BRITANNIQUE DE FAREHAM","EMRB","EMRB","23"
"e45aa027-b2ca-4b0b-9700-b532e401e996","COMECIIA par Equivalence","COMECIIA par Equivalence","COMECIIA PE","COMECIAA PE","02"
"00da08bf-498b-47fb-9e87-2595e2909d55","CENTRE D'INSTRUCTION DE LA BA301","CENTRE D'INSTRUCTION DE LA BA301","CI-BA301","CI-BA301","02"
"d0686317-7d56-4685-ad00-22c53a41f13b","CENTRE D'INSTRUCTION DE LA BA201","CENTRE D'INSTRUCTION DE LA BA201","CI-BA201","CI-BA201","02"
"181989be-38b4-49e0-a32d-9dcffada8ac2","US NAVAL ACADEMY","US NAVAL ACADEMY","USNA","USNA","34"
"02206e02-0dab-492b-9bf8-830035ad6793","CHARLES DE GAULE","CHARLES DE GAULE","CG","CG","11"
"4a38cdb7-e730-458e-8c0c-89328fd65163","ECOLE D'APPLICATION ET DE PERFECTIONNEMENT DES OFFICIERS DE LA MARINE","ECOLE D'APPLICATION ET DE PERFECTIONNEMENT DES OFFICIERS DE LA MARINE","ECAPOM","ECAPOM","02"
"cd3669b7-d08d-4604-9727-877e933696e2","INSTITUT D'INFANTERIE","INSTITUT D'INFANTERIE","IA","IA","10"
"4fa2c189-b2d4-4a16-ab1a-2c426fa10186","EXPEDITIONARY WARFARE TRAINING GROUP PACIFIC - SAN DIEGO","EXPEDITIONARY WARFARE TRAINING GROUP PACIFIC - SAN DIEGO","EWTGPAC","EWTGPAC","34"
"78fa6356-8255-4d84-b328-342e1b6dd061","ECOLE D'ETAT MAJOR DE LIBREVILLE","ECOLE D'ETAT MAJOR DE LIBREVILLE","EEML","EEML","11"
"aafd16a9-9200-4fc6-aa0f-a4c07278fb5b","NAVAL UNIVERSITY CHINE","NAVAL UNIVERSITY CHINE","NUC","NUC","38"
"a5d6b8dd-eb43-4c22-9f72-191cfc3fd4a8","COURS SPECIAL DE L'ECOLE DE L'AIR","COURS SPECIAL DE L'ECOLE DE L'AIR","CSEA","CSEA","03"
"2be662c0-ee25-4575-b54b-069cee23cc64","BATAILLON BLINDE DE RECONNAISSANCE","BATAILLON BLINDE DE RECONNAISSANCE","BBR","BBR","02"
"4476f750-3526-469b-a023-dd31c9ecd3d7","CENTRE DE PERFECTIONNEMENT A  LA POLICE JUDICIAIRE","CENTRE DE PERFECTIONNEMENT A  LA POLICE JUDICIAIRE","CPPJ","CPPJ","02"
"9c494782-c3a9-4a3a-a34f-2565587051a2","MILITARY COLLEGEOF ELECTRONICS AND MECHANICAL ENGINEERING","MILITARY COLLEGEOF ELECTRONICS AND MECHANICAL ENGINEERING","MCEME","MCEME","39"
"af3061b2-6f6e-4284-8469-a49586c79ba5","INS DE HAMLA","INS DE HAMLA","INSH","INSH","39"
"3deac316-1713-4492-9106-fe635e307ee7","INSTITUS DES DROIT MILITAIRES","INSTITUS OF MILITRY LAW","IDM","IML","39"
"43762d6e-5769-4634-8e79-7400362b8033","EPIG","EPIG","EPG","EPG","02"
"309e32b5-bbcc-4e98-8da2-10544b3be932","LOGISTICS UNIVERSITY FORT GREEG-ADAM-VIRGINIA","LOGISTICS UNIVERSITY FORT GREEG-ADAM-VIRGINIA","LUFGAV","LUFGAV","34"
"e5fd8224-be57-4d06-ae6e-216dc3b4ff7a","NAVAL POSTGRADUATE SCHOOL A MONTEREY","NAVAL POSTGRADUATE SCHOOL A MONTEREY","NPSM","NPSM","34"
"be550e68-449a-4fe5-a344-96f3d819f39a","ECOLE DES SOUS OFFICIERS DES FORCES NAVALES","ECOLE DES SOUS OFFICIERS DES FORCES NAVALES","ESOFN","ESOFN","01"
"f54d9175-9b57-40e5-96db-6eb8bb176c4a","ECOLE INFIRMIER MAROUA","ECOLE INFIRMIER MAROUA","ECINM","ECINM","02"
"94d89383-aba5-483e-9743-e0785eba731f","FACULTE DE MEDECINE ET DE PHARMACIE DE MARRAKECH","FACULTE DE MEDECINE ET DE PHARMACIE DE MARRAKECH","FMP","FMP","15"
"d0ea5e9c-4bf1-417e-8687-48e9c34bd8fc","ECOLE DE COMMANDEMENT DE L'ARMEE DE TERRE DE NANJING","ECOLE DE COMMANDEMENT DE L'ARMEE DE TERRE DE NANJING","ECATN","ECATN","38"
